LocationID,Drop_Latitude,Drop_Longitude
2,26941412.0,75813600.0
3,12991615.0,80241600.0
4,11086298.0,77042080.0
5,19181458.0,72917808.0
6,1305978.0,80238816.0
7,18722718.0,73903568.0
8,2660095.0,80428656.0
9,2236279.0,73220280.0
10,30365260.0,78083160.0
11,22619368.0,88483184.0
12,2559235.0,81981888.0
13,30462202.0,78167152.0
14,19145838.0,72912656.0
15,21255976.0,72875504.0
16,21205104.0,72834344.0
17,19928716.0,75361464.0
18,10040846.0,76373936.0
19,30939584.0,75849344.0
20,13112394.0,80332440.0
21,23278998.0,77433576.0
22,12440972.0,76789264.0
23,27096432.0,75916648.0
24,30964056.0,7588982.0
25,26491548.0,80309776.0
26,25490328.0,81874280.0
27,10101703.0,76403136.0
28,22582672.0,88382888.0
29,225591.0,88410464.0
30,13015996.0,80261896.0
31,26972908.0,75862936.0
32,26970262.0,75843016.0
33,30476994.0,78192544.0
34,2692294.0,75813008.0
35,10090706.0,76439520.0
36,30339528.0,78060264.0
37,12411214.0,76711096.0
38,30406322.0,78110456.0
39,18579156.0,73784720.0
40,1860421.0,73928432.0
41,22350526.0,73210936.0
42,30983080.0,75911496.0
43,19976968.0,75428896.0
44,23324294.0,77545360.0
45,30963384.0,75891200.0
46,23312356.0,77509992.0
47,12304747.0,76645864.0
48,19344568.0,72938920.0
49,22777020.0,75934168.0
50,13117018.0,80344792.0
51,13042793.0,80319984.0
52,22549000.0,88332336.0
53,22321604.0,73175008.0
54,30412686.0,7811889.0
55,27213304.0,78107040.0
56,2240279.0,73260280.0
57,23263220.0,77463568.0
58,30923244.0,75851816.0
59,15287944.0,74080888.0
60,26941378.0,75819032.0
61,23322536.0,77519848.0
62,30389722.0,78097080.0
63,13065479.0,8025311.0
64,30910184.0,75849616.0
65,23241528.0,77449400.0
66,10133064.0,76437592.0
67,27195108.0,78045056.0
68,23204992.0,77437224.0
69,25583436.0,81963168.0
70,19985522.0,75477128.0
71,17534114.0,78457552.0
72,12381214.0,76681096.0
73,10051703.0,76353136.0
74,2653.0,8041.0
75,13106279.0,80254568.0
76,21296608.0,72904136.0
77,19044048.0,72875200.0
78,25471516.0,81852616.0
79,13062394.0,80282440.0
80,30995814.0,75896976.0
81,22612996.0,8841231.0
82,19935016.0,75382408.0
83,30935562.0,75862840.0
84,30942872.0,75866808.0
85,10090846.0,76423936.0
86,2553235.0,81921888.0
87,22534584.0,8841331.0
88,22699358.0,88563456.0
89,15506162.0,73835360.0
90,12404022.0,76688200.0
91,30438174.0,78159120.0
92,17541476.0,7851035.0
93,23444422.0,854229.0
94,22588732.0,88414880.0
95,19986220.0,75456016.0
96,15616683.0,7379575.0
97,19906220.0,75376016.0
98,19906428.0,75394792.0
99,26611528.0,80453456.0
100,13046279.0,80194568.0
101,13001615.0,80251600.0
102,26492000.0,80374000.0
103,18603480.0,73795904.0
104,21179668.0,72802632.0
105,25533436.0,81913168.0
106,21170522.0,72781480.0
107,27171694.0,78044712.0
108,25587116.0,81989680.0
109,18576718.0,73870328.0
110,21267736.0,72878776.0
111,23419746.0,8538982.0
112,13065662.0,7774413.0
113,26513698.0,80392680.0
114,17498264.0,78457864.0
115,19123248.0,72866752.0
116,23254992.0,77487224.0
117,22780072.0,75912576.0
118,2656095.0,80388656.0
119,23399032.0,85365344.0
120,22830072.0,75962576.0
121,23469194.0,85435448.0
122,15596561.0,73803632.0
123,30902978.0,75831848.0
124,23419194.0,85385448.0
125,26912312.0,75826896.0
126,31033080.0,75961496.0
127,23387804.0,85355144.0
128,18653480.0,73845904.0
129,17548998.0,78590368.0
130,13076047.0,80308112.0
131,22795836.0,75957648.0
132,1315978.0,80338816.0
133,17530828.0,78483392.0
134,27023726.0,7586282.0
135,1864144.0,73894856.0
136,19115832.0,72893984.0
137,23431488.0,85404256.0
138,23465164.0,85434096.0
139,21229668.0,72852632.0
140,26611616.0,80453568.0
141,19258320.0,72914712.0
142,26514986.0,80382800.0
143,1113091.0,77050432.0
144,26492580.0,80325632.0
145,27251724.0,78057552.0
146,30382202.0,78087152.0
147,2648.0,8036.0
148,21240436.0,72854208.0
149,26921928.0,75807280.0
150,13156279.0,80304568.0
151,22581084.0,88384128.0
152,21253434.0,72884496.0
153,17498294.0,78474424.0
154,13108453.0,77773688.0
155,11146298.0,77102080.0
156,22813660.0,75963368.0
157,17521976.0,78455880.0
158,27021192.0,75932080.0
159,19950256.0,75393504.0
160,2118276.0,72808056.0
161,26612580.0,80445632.0
162,23242536.0,77439848.0
163,27200934.0,78084096.0
164,12335461.0,76642280.0
165,22851226.0,75977520.0
166,21260096.0,72879120.0
167,25541646.0,81922800.0
168,19131458.0,72867808.0
169,19113248.0,72856752.0
170,1927384.0,72891344.0
171,30995916.0,75898256.0
172,11116117.0,77034656.0
173,12407978.0,76686792.0
174,17444114.0,78367552.0
175,15654419.0,73865736.0
176,13056047.0,80288112.0
177,27040262.0,75913016.0
178,1750233.0,78539656.0
179,11060762.0,77041872.0
180,27032312.0,75946896.0
181,21177728.0,72788728.0
182,25514696.0,81894496.0
183,30492686.0,7819889.0
184,31023234.0,7595172.0
185,18566562.0,73926488.0
186,22794648.0,75944376.0
187,22619000.0,88402336.0
188,12464022.0,76748200.0
189,13154181.0,80326440.0
190,13010324.0,77685744.0
191,21246438.0,72854112.0
192,23443784.0,85416968.0
193,22805208.0,75976056.0
194,13184347.0,80387224.0
195,12386967.0,76673064.0
196,19926994.0,75422352.0
197,13062793.0,80339984.0
198,9.0,9.0
199,12347978.0,76626792.0
200,22596460.0,88434456.0
201,11152298.0,77128352.0
202,2696294.0,75853008.0
203,30372736.0,78094224.0
204,22417898.0,73277792.0
205,20005016.0,75452408.0
206,22682996.0,8848231.0
207,22778164.0,75934208.0
208,23258998.0,77413576.0
209,26859596.0,75810512.0
210,30496322.0,78200456.0
211,26573504.0,80482928.0
212,2652.0,804.0
213,13091615.0,80341600.0
214,22775536.0,75923104.0
215,22351844.0,73205080.0
216,22623662.0,88456216.0
217,30925562.0,75852840.0
218,22731848.0,75961992.0
219,27003726.0,75842824.0
220,22617892.0,88458624.0
221,30903080.0,75831496.0
222,27051928.0,75937280.0
223,19227222.0,72992280.0
224,19944104.0,75438416.0
225,17545894.0,78465464.0
226,15616561.0,73823632.0
227,1105091.0,76970432.0
228,12356967.0,76643064.0
229,18613934.0,73965368.0
230,11084839.0,77067000.0
231,10016783.0,76292984.0
232,17446228.0,78427496.0
233,19944448.0,75430232.0
234,11090762.0,77071872.0
235,26491616.0,80333568.0
236,18646216.0,73761080.0
237,21205976.0,72825504.0
238,23389194.0,85355448.0
239,15646561.0,73853632.0
240,26583698.0,80462680.0
241,22891592.0,76016360.0
242,25517116.0,81919680.0
243,26954142.0,75845704.0
244,1562395.0,73957424.0
245,13105996.0,80351896.0
246,23421058.0,85395728.0
247,18616948.0,73970624.0
248,19291316.0,72932384.0
249,1560395.0,73937424.0
250,11056117.0,76974656.0
251,1921663.0,72919976.0
252,26529004.0,80376344.0
253,12984264.0,777484.0
254,1913663.0,72839976.0
255,12377978.0,76656792.0
256,21266884.0,72873616.0
257,1554395.0,73877424.0
258,19024236.0,72855552.0
259,30925816.0,75843112.0
260,23476792.0,85376840.0
261,27221660.0,78071544.0
262,23454988.0,85415488.0
263,1552395.0,73857424.0
264,19256268.0,72916720.0
265,18580964.0,73878976.0
266,23224460.0,77444976.0
267,19192000.0,72978496.0
268,25459872.0,81846168.0
269,12467978.0,76746792.0
270,1857421.0,73898432.0
271,12985662.0,7766413.0
272,27331724.0,78137552.0
273,10068047.0,76350016.0
274,12326967.0,76613064.0
275,18606258.0,73964336.0
276,22782224.0,75924768.0
277,13061615.0,80311600.0
278,23324632.0,77491664.0
279,15177944.0,73970888.0
280,26553042.0,80387832.0
281,19918716.0,75351464.0
282,10036783.0,76312984.0
283,22562996.0,8836231.0
284,19949632.0,75393400.0
285,19151140.0,72833072.0
286,19935336.0,75376720.0
287,22687820.0,88510584.0
288,2277004.0,75922848.0
289,18723480.0,73915904.0
290,26491528.0,80333456.0
291,2234279.0,73200280.0
292,17460852.0,78389344.0
293,23290792.0,7749702.0
294,11091278.0,77065016.0
295,13111878.0,80278520.0
296,12367928.0,76647888.0
297,22835748.0,76008496.0
298,26976432.0,75796648.0
299,10035697.0,76331128.0
300,13085996.0,80331896.0
301,23449408.0,85415056.0
302,13161878.0,80328520.0
303,26502000.0,80384000.0
304,11133009.0,7710544.0
305,30943988.0,75912736.0
306,2264796.0,88459840.0
307,26529108.0,80365040.0
308,18656216.0,73771080.0
309,12994179.0,77675800.0
310,2256796.0,88379840.0
311,13131878.0,80298520.0
312,26944142.0,75835704.0
313,2286004.0,76012848.0
314,2281004.0,75962848.0
315,22765048.0,75912472.0
316,18604382.0,73848208.0
317,12943284.0,77625424.0
318,18570964.0,73868976.0
319,19904732.0,75383944.0
320,25484648.0,81864504.0
321,27231660.0,78081544.0
322,2260796.0,88419840.0
323,21245048.0,7286859.0
324,19916994.0,75412352.0
325,13104694.0,8032147.0
326,10006783.0,76282984.0
327,2721185.0,78090168.0
328,26502106.0,80337800.0
329,2552235.0,81911888.0
330,22594584.0,8847331.0
331,10097364.0,76378256.0
332,11014136.0,76983304.0
333,13048453.0,77713688.0
334,25470376.0,81854240.0
335,12964179.0,77645800.0
336,2121276.0,72838056.0
337,12982793.0,80259984.0
338,10043064.0,76347592.0
